Species,Nconc
Alder,4.98
Alder,4.92
Alder,4.68
Alder,4.01
Alder,4.12
Alder,3.51
Alder,4.64
Alder,4.12
Alder,3.93
Alder,3.55
Alder,3.38
Alder,3.12
Alder,4.77
Alder,4.26
Alder,3.89
Alder,3.42
Alder,3.06
Alder,3.11
Alder,3.11
Alder,4.69
Alder,3.94
Alder,3.73
Alder,3.40
Alder,3.19
Alder,3.14
Alder,4.58
Alder,4.61
Alder,4.17
Alder,4.04
Alder,3.89
Alder,3.65
Alder,4.15
Alder,3.97
Alder,4.19
Alder,3.52
Alder,3.85
Alder,3.96
Alder,4.42
Alder,4.07
Alder,3.34
Alder,4.53
Alder,4.05
Alder,3.68
Alder,4.04
Alder,3.98
Alder,4.25
Alder,4.10
Alder,3.45
Alder,4.13
Alder,4.12
Alder,3.44
Alder,3.90
Alder,3.74
Alder,3.71
Alder,3.70
Alder,4.23
Alder,3.53
Alder,3.66
Alder,3.90
Alder,4.60
Poplar,3.05
Poplar,2.67
Poplar,2.79
Poplar,2.64
Poplar,2.62
Poplar,2.57
Poplar,2.98
Poplar,2.79
Poplar,2.63
Poplar,2.66
Poplar,2.58
Poplar,2.46
Poplar,2.83
Poplar,2.64
Poplar,2.47
Poplar,2.25
Poplar,2.01
Poplar,2.07
Poplar,3.29
Poplar,2.56
Poplar,2.59
Poplar,2.72
Poplar,2.67
Poplar,2.73
Poplar,3.88
Poplar,3.34
Poplar,3.15
Poplar,3.42
Poplar,3.22
Poplar,3.08
Poplar,2.79
Poplar,2.49
Poplar,3.07
Poplar,2.81
Poplar,2.93
Poplar,2.97
Poplar,3.10
Poplar,2.88
Poplar,3.09
Poplar,2.82
Poplar,2.62
Poplar,3.63
Poplar,2.11
Poplar,2.83
Poplar,3.42
Poplar,2.75
Poplar,2.76
Poplar,2.52
Poplar,2.49
Poplar,2.91
Poplar,2.80
Poplar,2.81
Poplar,2.43
Poplar,2.22
Poplar,3.16
Poplar,2.74
Poplar,2.94
Poplar,2.55
Poplar,3.78
Poplar,3.08
