Species,Length,Short_d
Cc,16.25325,1.44375
Cc,14.08,1.3675
Cc,13.11025,1.33925
Cc,15.126,1.356
Cc,12.0515,1.1035
Cc,14.2995,1.33625
Cc,14.33725,1.34625
Cc,14.169,1.3525
Cc,14.772,1.35275
Cc,14.7545,1.46
Cc,15.8605,1.5885
Cc,14.343,1.363
Cc,14.11875,1.3305
Cc,14.00825,1.35825
Cc,16.25975,1.578
Cc,15.1555,1.4655
Cc,16.364,1.6375
Cc,14.0445,1.3085
Cc,13.6145,1.243
Cc,14.6375,1.35775
Cc,14.8325,1.33175
Cc,8.971,1.034
Cc,14.9315,1.569
Cc,16.4655,1.634
Cc,15.277,1.355
Cc,10.023,0.9665
Cm,17.6505,1.883
Cm,6.42075,0.787
Cm,7.7275,0.807
Cm,7.1635,0.7985
Cm,14.302,1.6475
Cm,12.2175,1.351
Cm,17.0345,1.82125
Cm,18.2585,1.9945
Cm,8.6,1.1
Cm,7.8065,0.833
Cm,8.52475,0.9265
Cm,6.287,0.7305
Cm,7.875,0.837
Cm,7.745,0.9415
Cm,8.56,0.97025
Cm,13.737,1.4675
Cm,13.9305,1.511
Cm,14.30725,1.489
Cm,7.1315,0.8275
Cm,7.662,0.879
Cm,8.202,1.001
Cm,17.9195,1.8435
Cm,6.8905,0.7705
Cm,6.5405,0.732
Cm,8.0165,0.889
Cm,7.5875,0.8155
Cm,16.597,1.686
Cm,13.051,1.4165
Cm,7.4315,0.845
Cm,12.90725,1.1985
Cm,16.7095,1.727
Cm,6.975,0.856
Cm,9.40775,1.0555
Cm,7.5395,0.885
Cm,13.41,1.537
Cm,7.28,0.759
Cm,8.1275,0.9315
Cm,17.1775,1.9365
Cm,7.9945,0.96725
Cm,7.389,0.78125
Cm,7.55925,0.81825
Cm,6.73675,0.70575
Cm,9.1255,0.9305
Cm,8.25,0.8745
Cm,8.9215,1.08675
Cm,18.29725,1.91725
Cm,8.15125,0.93625
Cm,7.977,0.87275
